id,CategoryID,Name,IsActive,JsonLink
238,1,Карты оплаты и подписки,1,https://catalog.onliner.by/paymentcard
239,1,Кассовые аппараты,1,https://catalog.onliner.by/cashregister
240,1,Кастрюли,1,https://catalog.onliner.by/saucepan
241,1,"Каталки, педальные машинки",1,https://catalog.onliner.by/rideon
242,1,"Кашпо, горшки для растений",1,https://catalog.onliner.by/flowerpot
243,1,Квадроциклы,1,https://catalog.onliner.by/quad
244,1,Кемпинговая мебель,1,https://catalog.onliner.by/camp_furniture
245,1,Кирпич,1,https://catalog.onliner.by/bricks
246,1,Клавиши и системы смыва,1,https://catalog.onliner.by/flushing_system
247,1,Клеевые смеси,1,https://catalog.onliner.by/adhesivemix
248,1,Клеи и герметики для автомобилей,1,https://catalog.onliner.by/adhesivecar
249,1,Клетки и аксессуары для птиц и грызунов,1,https://catalog.onliner.by/pet_cage
250,1,Коврики для йоги и фитнеса,1,https://catalog.onliner.by/yoga_mat
251,1,Коляски,1,https://catalog.onliner.by/pram
252,1,Коммутаторы,1,https://catalog.onliner.by/switch
253,1,"Комнатные растения, флорариумы",1,https://catalog.onliner.by/houseplant
254,1,Компрессоры,1,https://catalog.onliner.by/compressor
255,1,Кондиционеры,1,https://catalog.onliner.by/conditioners
256,1,Конструкторы,1,https://catalog.onliner.by/buildingkit
257,1,Контактные линзы,1,https://catalog.onliner.by/contact_lense
258,1,Концертная акустика,1,https://catalog.onliner.by/concertacoustics
259,1,Коньки,1,https://catalog.onliner.by/skates
260,1,Корма для кошек,1,https://catalog.onliner.by/catfood
261,1,Корма для собак,1,https://catalog.onliner.by/foodfordog
262,1,Косметические зеркала,1,https://catalog.onliner.by/cosmetic_mirror
263,1,Кофе,1,https://catalog.onliner.by/coffeejava
264,1,Кофемашины и кофеварки,1,https://catalog.onliner.by/coffee
265,1,Кофемолки,1,https://catalog.onliner.by/coffeegrinders
266,1,Кошельки,1,https://catalog.onliner.by/wallet
267,1,Краски и эмали,1,https://catalog.onliner.by/paints
268,1,Креатин,1,https://catalog.onliner.by/creatine
269,1,Кресла,1,https://catalog.onliner.by/interior_chair
270,1,Кровати,0,https://catalog.onliner.by/bed
271,1,Кровельные материалы,1,https://catalog.onliner.by/roof
272,1,Кронштейны,1,https://catalog.onliner.by/wallmount
273,1,"Кружки, чашки, стаканы для горячих напитков",1,https://catalog.onliner.by/hot_drinks
274,1,Ксенон,1,https://catalog.onliner.by/xenon
275,1,Кукольные домики,1,https://catalog.onliner.by/dollhouses
276,1,Кулеры для воды,1,https://catalog.onliner.by/water_cooler
277,1,Кусторезы и высоторезы,1,https://catalog.onliner.by/hedgetrimmers
278,1,Кухонные весы,1,https://catalog.onliner.by/kitchenscales
279,1,Кухонные инструменты,1,https://catalog.onliner.by/kitchen_tools
