id,KindID,Name,SortOrder,IsActive
443,2,Контроллеры и комплектация,16750,1
444,2,Интерфейсы и коммуникации,17750,1
445,3,Основные,1534,1
446,3,Технические характеристики,3392,1
447,3,Конструктивные характеристики,7750,1
448,15,Фронтальная АС,4333,1
449,15,Питание,7607,1
450,11,Характеристики клавиатуры,9857,1
451,11,Питание клавиатуры,11200,1
452,11,Размеры и вес клавиатуры,12800,1
453,11,Функции,5812,1
454,11,Конструкция,3773,1
455,11,Размеры и вес,4178,1
456,11,Экран,5688,1
457,11,Датчики,10167,1
458,11,Навигация,9778,1
459,11,Интерфейсы,6404,1
460,11,Аккумулятор и время работы,9526,1
461,7,Технические характеристики корпуса,9333,1
462,7,Передняя панель корпуса,10333,1
463,7,Габариты,7600,1
464,2,Характеристики клавиатуры,9857,1
465,2,Питание клавиатуры,11200,1
466,2,Размеры и вес клавиатуры,12800,1
467,10,Конструкция,3773,1
468,10,Питание,7607,1
469,10,Характеристики клавиатуры,9857,1
470,10,Питание клавиатуры,11200,1
471,3,Контроллеры и комплектация,16750,1
472,3,Интерфейсы и коммуникации,17750,1
473,10,CD,6500,1
474,10,DVD,7500,1
475,3,Питание,7607,1
476,3,Размеры и вес мыши,9250,1
477,3,Акустическая система,12167,1
478,3,Функциональность,7833,1
479,3,Габариты,7600,1
480,12,Память,6625,1
481,12,Слоты расширения,6000,1
482,12,Интерфейсы накопителей,7000,1
483,12,Сеть и связь,8000,1
484,12,Аудио и Видео,6000,1
485,12,Разъемы на задней панели,9500,1
486,49,Общая информация,2218,1
487,49,Основные,1534,1
488,49,Технические характеристики,3392,1
489,49,Функциональность,7833,1
490,49,Интерфейсы,6404,1
491,49,Размеры и вес,4178,1
492,49,Комплектация,5892,1
493,51,Общая информация,2218,1
494,51,Основные,1534,1
495,51,Интерфейсы,6404,1
496,51,Размеры и вес,4178,1
497,51,Функции ADSL,5000,1
498,51,Беспроводная сеть,4500,1
499,61,Основные,1534,1
500,61,Общая информация,2218,1
501,61,Конструкция,3773,1
502,66,Основные,1534,1
503,66,Технические характеристики,3392,1
504,66,Конструкция,3773,1
505,66,Габариты и вес,5286,1
506,66,Комплектация,5892,1
507,80,Общая информация,2218,1
508,80,Основные,1534,1
509,80,Размеры и вес,4178,1
510,72,Основные,1534,1
511,94,Основные,1534,1
512,99,Основные,1534,1
513,99,Общая информация,2218,1
514,89,Общая информация,2218,1
515,89,Основные,1534,1
516,92,Общая информация,2218,1
517,92,Основные,1534,1
518,102,Основные,1534,1
519,102,Общая информация,2218,1
520,102,Питание,7607,1
521,102,Комплектация,5892,1
522,102,Размеры и вес,4178,1
523,119,Основные,1534,1
524,119,Особенности конструкции,2750,1
525,119,Размеры и вес,4178,1
526,119,Общая информация,2218,1
527,112,Общая информация,2218,1
528,112,Основные,1534,1
529,112,Размеры и вес,4178,1
530,122,Общая информация,2218,1
531,122,Основные,1534,1
532,123,Основные,1534,1
533,123,Общая информация,2218,1
534,123,Функциональные особенности,4270,1
535,123,Габариты и вес,5286,1
536,123,Термоброшюровщик,5000,1
537,125,Основные,1534,1
538,125,Общая информация,2218,1
539,125,Конструкция,3773,1
540,125,Параметры воспроизведения,3500,1
541,125,Функциональность,7833,1
542,125,Акустическая система,12167,1
