id,GroupID,Name,Description,IsActive,SortOrder
243,46,Материал корпуса,,1,462430
244,46,Цвет корпуса,,1,462440
245,46,Прозрачное окно,,1,462450
246,46,Подсветка корпуса,,1,462460
247,46,Крепление к монитору,,1,462470
248,46,Панель беспроводной зарядки,,1,462480
249,47,Ширина,,1,472490
250,47,Высота,,1,472500
251,47,Глубина,,1,472510
252,48,Тип оперативной памяти,,1,482520
253,48,Частота оперативной памяти,,1,482530
254,48,Объём памяти,,1,482540
255,49,Конфигурация накопителя,,1,492550
256,49,Тип накопителя,,1,492560
257,49,Ёмкость накопителя,,1,492570
258,49,Скорость вращения,,1,492580
259,50,Дата выхода на рынок,,1,502590
260,51,Диагональ,,1,512600
261,49,Оптический привод (ODD),,1,492610
262,51,Соотношение сторон,,1,512620
263,49,Карты памяти,,1,492630
264,51,Разрешение,,1,512640
265,52,Дискретная графика,,1,522650
266,51,Тип,,1,512660
267,52,Видеокарта,,1,522670
268,51,Матрица,,1,512680
269,52,Локальная видеопамять,,1,522690
270,53,Блок питания,,1,532700
271,54,Bluetooth,,1,542710
272,54,LAN,,1,542720
273,51,Изогнутый экран,,1,512730
274,51,Частота обновления экрана,,1,512740
275,54,Wi-Fi,,1,542750
276,51,Отсутствие мерцания (Flicker-free),,1,512760
277,54,USB 2.0,,1,542770
278,51,Цвет корпуса,,1,512780
279,54,USB 3.0,,1,542790
280,54,VGA (RGB),,1,542800
281,54,DVI,,1,542810
282,51,Цвет подставки,,1,512820
283,54,HDMI,,1,542830
284,55,Расширенный динамический диапазон (HDR),,1,552840
285,54,DisplayPort,,1,542850
286,55,Поверхность экрана,,1,552860
287,54,Аудио выходы (3.5 мм jack),,1,542870
288,55,Сенсорный экран,,1,552880
289,54,Аудио входы (3.5 мм jack),,1,542890
290,55,Улучшенная глубина цвета,,1,552900
291,54,PS/2,,1,542910
292,55,Динамическая частота обновления экрана,,1,552920
293,55,Яркость,,1,552930
294,56,Операционная система,,1,562940
295,55,Контрастность,,1,552950
296,56,Комплект поставки,,1,562960
297,55,Время отклика (GtG),,1,552970
298,56,Клавиатура,,1,562980
299,55,Угол обзора по горизонтали,,1,552990
300,56,Мышь,,1,563000
301,55,Угол обзора по вертикали,,1,553010
302,56,Монитор,,1,563020
303,57,Блок питания,,1,573030
304,57,Встроенные динамики,,1,573040
305,57,Камера,,1,573050
306,57,Микрофон,,1,573060
307,57,Автоматическая регулировка яркости,,1,573070
308,57,Беспроводная зарядка,,1,573080
309,57,Подсветка корпуса,,1,573090
310,57,Безрамочный дизайн,,1,573100
311,58,Bluetooth,,1,583110
312,58,Wi-Fi,,1,583120
313,58,MHL,,1,583130
314,58,Интерфейс подключения,,1,583140
315,58,Выход DisplayPort,,1,583150
316,58,Выход на наушники,,1,583160
317,58,Микрофонный вход,,1,583170
318,58,USB,,1,583180
319,58,HDMI-хаб,,1,583190
320,58,Ethernet,,1,583200
321,58,Картридер,,1,583210
322,58,RS-232,,1,583220
323,59,Кабели в комплекте,,1,593230
324,60,Ширина,,1,603240
325,60,Высота,,1,603250
326,60,Глубина,,1,603260
327,60,Вес,,1,603270
328,60,Максимальный угол наклона экрана,,1,603280
329,60,Регулировка высоты подставки,,1,603290
330,60,Портретный режим,,1,603300
