id,GoodID,CatalogMarketID,Price,WriteDate
883524,9698,9,334.89,2021-07-09 23:09:27.000000
883535,9698,32,315.00,2021-07-13 14:21:32.000000
883538,9698,36,332.82,2021-07-12 18:04:47.000000
883539,9698,12,364.59,2021-07-15 12:23:06.000000
883545,8343,10,128.98,2021-07-09 11:21:08.000000
883546,8343,10,128.98,2021-07-09 11:21:08.000000
883550,8343,23,142.62,2021-06-24 13:57:40.000000
883551,8343,13,130.25,2021-07-15 12:22:43.000000
883555,8343,36,134.94,2021-07-12 16:55:25.000000
883558,8343,9,153.00,2021-06-24 13:57:40.000000
883559,8343,39,154.81,2021-07-05 12:14:59.000000
883565,8343,12,190.44,2021-07-15 08:00:13.000000
883568,8343,28,128.98,2021-07-09 17:20:55.000000
883569,8343,18,128.75,2021-07-15 12:22:43.000000
883573,8343,19,154.22,2021-07-15 12:22:43.000000
883575,8343,32,133.87,2021-07-14 17:12:08.000000
883576,8343,24,149.97,2021-07-15 08:00:13.000000
883578,8291,10,454.00,2021-08-25 00:03:10.000000
883579,8291,16,454.00,2021-08-25 00:03:10.000000
883585,8291,36,461.16,2021-09-12 20:18:31.000000
883587,8291,32,454.00,2021-08-25 00:03:10.000000
883588,8291,9,470.64,2021-08-25 00:03:10.000000
883591,8291,28,454.00,2021-08-25 00:03:10.000000
883599,8291,18,455.73,2021-09-13 17:24:37.000000
883602,8291,12,547.68,2021-09-11 02:05:30.000000
883638,9357,10,237.60,2021-09-28 16:40:54.000000
883639,9357,16,237.60,2021-09-28 16:40:54.000000
883643,9357,12,292.21,2021-09-28 16:40:54.000000
883644,9357,32,237.60,2021-09-28 16:40:54.000000
883655,9357,9,237.60,2021-09-28 16:40:54.000000
883657,9357,28,237.60,2021-09-28 16:40:54.000000
883658,9357,36,244.74,2021-09-28 16:40:54.000000
889262,2,393,1045.00,2021-06-24 13:59:11.000000
889267,2,288,1045.00,2021-06-24 13:59:11.000000
889278,13,383,2858.00,2021-06-28 07:19:51.000000
889284,13,790,2858.00,2021-06-28 07:19:51.000000
889287,13,827,2955.50,2021-06-24 13:59:12.000000
889294,13,9,3389.39,2021-07-14 20:53:46.000000
889297,1,328,635.00,2021-06-29 21:45:09.000000
889340,4,328,652.58,2021-07-15 12:20:16.000000
889341,4,175,625.00,2021-06-24 13:59:12.000000
889343,4,128,699.00,2021-06-24 13:59:12.000000
889346,4,157,625.00,2021-06-24 13:59:12.000000
889347,4,9,1045.77,2021-07-13 19:52:25.000000
889349,4,43,699.00,2021-06-29 13:08:48.000000
889352,16,328,430.13,2021-07-15 12:20:16.000000
889353,16,175,542.00,2021-06-24 13:59:12.000000
889354,16,128,399.00,2021-07-14 02:14:26.000000
889359,16,43,549.00,2021-07-13 12:00:12.000000
889365,16,12,467.08,2021-07-02 13:16:27.000000
889372,16,9,552.56,2021-07-15 00:34:24.000000
889377,16,38,449.00,2021-07-02 10:11:02.000000
889379,16,28,430.13,2021-07-15 00:34:24.000000
889383,16,356,499.00,2021-06-24 13:59:12.000000
889385,6,80,2490.00,2021-06-24 13:59:12.000000
889388,6,82,2490.00,2021-07-02 16:54:32.000000
889389,6,393,2370.00,2021-06-24 13:59:12.000000
889393,6,157,2416.00,2021-06-24 13:59:12.000000
889397,6,383,2209.00,2021-06-24 13:59:12.000000
889400,6,389,2209.00,2021-07-02 16:54:32.000000
889403,6,388,2566.00,2021-06-24 13:59:12.000000
889405,6,288,2209.00,2021-06-24 13:59:12.000000
889408,18,183,1241.00,2021-06-24 13:59:12.000000
889409,18,328,1246.57,2021-07-15 12:20:16.000000
889410,18,393,1241.00,2021-06-24 13:59:12.000000
889417,18,157,1241.00,2021-06-24 13:59:12.000000
889419,18,227,1255.19,2021-07-15 12:20:16.000000
889420,18,9,1244.02,2021-07-14 17:09:32.000000
889424,18,230,1298.41,2021-07-15 12:20:16.000000
889429,18,383,1241.00,2021-06-24 13:59:12.000000
889430,18,19,1747.10,2021-07-15 12:20:16.000000
889431,18,28,1241.00,2021-07-15 00:34:24.000000
889432,18,288,1241.00,2021-06-24 13:59:12.000000
889433,9,80,1736.00,2021-06-24 13:59:13.000000
889434,9,82,1736.00,2021-06-24 13:59:13.000000
889439,17,80,2248.90,2021-06-25 13:57:18.000000
889440,17,82,2248.90,2021-06-25 13:57:18.000000
889473,25,328,1470.00,2021-07-12 16:53:39.000000
889474,25,393,1470.00,2021-06-24 13:59:13.000000
889475,25,175,1470.00,2021-07-12 16:53:39.000000
889477,25,157,1470.00,2021-06-24 13:59:13.000000
889478,25,9,1936.56,2021-07-08 14:35:36.000000
889479,25,288,1470.00,2021-06-24 13:59:13.000000
889485,26,827,3287.03,2021-06-24 13:59:13.000000
889486,26,383,3287.00,2021-06-24 13:59:13.000000
889492,27,288,1280.00,2021-06-24 13:59:13.000000
889493,15,80,2325.00,2021-06-25 13:57:19.000000
889494,15,82,2325.00,2021-06-25 13:57:19.000000
889497,15,41,2650.00,2021-06-24 13:59:13.000000
889505,15,792,2680.91,2021-07-15 12:20:17.000000
889508,39,384,399.00,2021-07-05 12:11:56.000000
889512,43,80,729.00,2021-09-06 16:34:03.000000
889513,43,328,729.00,2021-09-06 10:36:52.000000
889514,43,82,859.00,2021-07-16 20:56:03.000000
889525,43,12,917.58,2021-09-28 16:40:09.000000
889529,43,28,928.65,2021-09-29 17:08:06.000000
889533,43,6,859.00,2021-07-16 20:56:03.000000
889534,43,128,859.00,2021-08-14 01:43:05.000000
889543,43,9,917.58,2021-09-29 17:08:06.000000
889544,43,10,753.77,2021-08-31 09:49:03.000000
889554,37,175,605.00,2021-07-13 19:52:27.000000
889556,37,157,605.00,2021-06-24 13:59:14.000000
889569,41,6,449.00,2021-07-12 16:53:41.000000
889578,41,38,449.00,2021-06-25 20:33:32.000000
889581,41,43,449.00,2021-09-28 16:40:08.000000
889610,51,157,1050.00,2021-09-28 16:40:04.000000
889650,22,183,3050.00,2021-06-24 13:59:14.000000
889651,22,174,3050.00,2021-06-24 13:59:14.000000
889652,22,393,3050.00,2021-06-24 13:59:14.000000
889654,22,383,2649.00,2021-07-02 01:08:03.000000
889655,22,157,3050.00,2021-06-24 13:59:14.000000
889658,22,9,2867.77,2021-07-14 20:53:48.000000
889665,22,389,2649.00,2021-07-02 16:54:32.000000
